YYYY_LOCAL,MM_LOCAL,DD_LOCAL,HHMM_LOCAL,YYYYMMDDHH,YYYY_SOLAR,MM_SOLAR,DD_SOLAR,HHMM_SOLAR,NEAR_CMMTY,PROVINCE,FUJITA,START_LAT_,START_LON_,END_LAT_N,END_LON_W,LENGTH_M,MOTION_DEG,WIDTH_MAX_,HUMAN_FATA,HUMAN_INJ,ANIMAL_FAT,ANIMAL_INJ,DMG_THOUS,FORECAST_R
     1980.000000,        8.000000,       11.000000,     2207.000000,19800812 0207,     1980.000000,        8.000000,       11.000000,     2042.000000,Port Dover,ON,0,       42.783283,      -80.202586,       42.792405,      -80.175011,2500,250,50,-999,-999,-999,-999,20,Simcoe - Delhi - Norfolk
     1980.000000,        8.000000,       14.000000,     2010.000000,19800814 0000,     1980.000000,        8.000000,       14.000000,     1858.000000,Kirk Cove,ON,0,       44.799989,      -76.983330,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Smiths Falls - Lanark - Sharbot Lake
     1980.000000,        8.000000,       14.000000,     2030.000000,19800814 0030,     1980.000000,        8.000000,       14.000000,     1920.000000,Stanleyville,ON,0,       44.766175,      -76.272839,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Smiths Falls - Lanark - Sharbot Lake
     1980.000000,        8.000000,       14.000000,     1600.000000,19800814 2000,     1980.000000,        8.000000,       14.000000,     1450.000000,Springfield,ON,0,       44.388940,      -76.303212,       44.384218,      -76.262193,3300,280,-999,-999,-999,-999,-999,-999,Kingston - Prince Edward
     1980.000000,        8.000000,       14.000000,     1845.000000,19800814 2245,     1980.000000,        8.000000,       14.000000,     1732.000000,Meath,ON,0,       45.719960,      -77.004010,       45.699878,      -76.963378,3860,305,100,-999,-999,-999,-999,-999,Renfrew - Pembroke - Barry's Bay
     1980.000000,        8.000000,       14.000000,     2020.000000,19800815 0020,     1980.000000,        8.000000,       14.000000,     1851.000000,London,ON,2,       42.974051,      -81.211667,       42.949112,      -81.189949,3280,330,-999,-999,-999,2,-999,100,London - Middlesex
     1980.000000,        8.000000,       15.000000,     1700.000000,19800815 2000,     1980.000000,        8.000000,       15.000000,     1543.000000,Strathgartney,PE,0,       46.260079,      -63.337361,       46.301482,      -63.333019,4630,185,-999,0,0,0,0,-999,Queens County P.E.I.
     1980.000000,        8.000000,       16.000000,     1430.000000,19800816 1740,     1980.000000,        8.000000,       16.000000,     1311.000000,Northport,NS,0,       45.931309,      -63.864307,     -999.000000,     -999.000000,-999,-999,20,-999,-999,-999,-999,-999,Cumberland County North and Cobequid Pass
     1980.000000,        8.000000,       25.000000,     1915.000000,19800825 2315,     1980.000000,        8.000000,       25.000000,     1722.000000,Lansdowne House,ON,0,       52.190417,      -87.988975,       52.223181,      -87.846040,10400,250,-999,-999,-999,-999,-999,-999,Fort Hope - Webequie
     1980.000000,        9.000000,        2.000000,      945.000000,19800902 1330,     1980.000000,        9.000000,        2.000000,      824.000000,Houghton Centre,ON,0,       42.598599,      -80.666307,       42.608061,      -80.629856,3170,250,20,-999,-999,-999,-999,-999,Simcoe - Delhi - Norfolk
     1980.000000,        9.000000,        2.000000,     1515.000000,19800902 1915,     1980.000000,        9.000000,        2.000000,     1358.000000,Jarratt,ON,2,       44.584097,      -79.583065,       44.584022,      -79.570895,970,270,10,-999,-999,-999,-999,-999,Barrie - Orillia - Midland
     1980.000000,        9.000000,        2.000000,     2017.000000,19800903 0017,     1980.000000,        9.000000,        2.000000,     1820.000000,South Lancaster,ON,1,       45.132482,      -74.501782,       45.133700,      -74.482300,1500,265,-999,-999,-999,-999,-999,-999,Cornwall - Morrisburg
     1980.000000,        9.000000,       22.000000,     1845.000000,19800922 2245,     1980.000000,        9.000000,       22.000000,     1725.000000,Blenheim,ON,1,       42.360011,      -82.045845,       42.353447,      -82.019807,2260,290,90,-999,-999,-999,-999,-999,Windsor - Essex - Chatham-Kent
     1980.000000,        9.000000,       22.000000,     1845.000000,19800922 2245,     1980.000000,        9.000000,       22.000000,     1730.000000,Stratford,ON,0,       43.360281,      -80.998223,       43.356011,      -80.963355,2860,280,120,0,0,-999,-999,760,Huron - Perth
     1980.000000,        9.000000,       22.000000,     1855.000000,19800922 2255,     1980.000000,        9.000000,       22.000000,     1743.000000,Primrose,ON,0,       44.092040,      -80.143877,       44.087693,      -80.120505,1930,285,-999,-999,-999,-999,-999,11,Dufferin - Innisfil
     1980.000000,        9.000000,       22.000000,     1920.000000,19800922 2320,     1980.000000,        9.000000,       22.000000,     1810.000000,Woodbridge,ON,1,       43.787089,      -79.571739,       43.783827,      -79.544759,2210,280,-999,-999,-999,-999,-999,-999,York - Durham
     1980.000000,        9.000000,       22.000000,     1950.000000,19800922 2350,     1980.000000,        9.000000,       22.000000,     1843.000000,Mariposa,ON,0,       44.310000,      -78.900000,       44.310401,      -78.830746,5500,270,-999,-999,-999,-999,-999,-999,Peterborough - Kawartha Lakes
     1980.000000,        9.000000,       22.000000,     2020.000000,19800923 0020,     1980.000000,        9.000000,       22.000000,     1915.000000,Lakefield,ON,0,       44.429126,      -78.358799,       44.438157,      -78.263450,7650,270,50,0,0,-999,-999,-999,Peterborough - Kawartha Lakes
     1980.000000,        9.000000,       25.000000,     2100.000000,19800926 0100,     1980.000000,        9.000000,       25.000000,     1944.000000,Teeswater,ON,2,       43.980000,      -81.360000,       44.018888,      -81.172066,10900,255,300,-999,-999,-999,-999,-999,Grey - Bruce
     1980.000000,        9.000000,       28.000000,     1815.000000,19800928 2115,     1980.000000,        9.000000,       28.000000,     1711.000000,Cape Traverse,PE,0,       46.234236,      -63.629818,     -999.000000,     -999.000000,-999,-999,-999,0,0,0,0,4,Prince County P.E.I.
     1980.000000,        0.000000,        0.000000,        0.000000,19800523,     1980.000000,        0.000000,        0.000000,        0.000000,Schuler,AB,0,       50.330000,     -110.080000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Medicine Hat - Bow Island - Suffield
     1980.000000,        0.000000,        0.000000,        0.000000,19800523,     1980.000000,        0.000000,        0.000000,        0.000000,Hilda,AB,1,       50.478000,     -110.033000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Medicine Hat - Bow Island - Suffield
     1980.000000,        0.000000,        0.000000,        0.000000,19800525,     1980.000000,        0.000000,        0.000000,        0.000000,Aden,AB,1,       49.010000,     -111.320000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Cypress Hills Provincial Park - Foremost
     1980.000000,        0.000000,        0.000000,        0.000000,19800525,     1980.000000,        0.000000,        0.000000,        0.000000,Cereal,AB,1,       51.417000,     -110.800000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Hanna - Coronation - Oyen
     1980.000000,        0.000000,        0.000000,        0.000000,19800525,     1980.000000,        0.000000,        0.000000,        0.000000,Hilda,AB,0,       50.481000,     -110.023000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Medicine Hat - Bow Island - Suffield
     1980.000000,        0.000000,        0.000000,        0.000000,19800525,     1980.000000,        0.000000,        0.000000,        0.000000,Dubuc,SK,0,       50.684000,     -102.471000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Yorkton - Melville - Esterhazy
     1980.000000,        0.000000,        0.000000,        0.000000,19800525,     1980.000000,        0.000000,        0.000000,        0.000000,Carnduff,SK,1,       49.186000,     -101.808000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Carlyle - Oxbow - Carnduff - Bienfait - Stoughton
     1980.000000,        0.000000,        0.000000,        0.000000,19800525,     1980.000000,        0.000000,        0.000000,        0.000000,Bellegarde,SK,1,       49.528000,     -101.557000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,10,Carlyle - Oxbow - Carnduff - Bienfait - Stoughton
     1980.000000,        0.000000,        0.000000,        0.000000,19800526,     1980.000000,        0.000000,        0.000000,        0.000000,Quill Lake,SK,0,       52.091000,     -104.272000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Humboldt - Wynyard - Wadena - Lanigan - Foam Lake
     1980.000000,        0.000000,        0.000000,        0.000000,19800602,     1980.000000,        0.000000,        0.000000,        0.000000,Grassy Lake,AB,0,       49.790000,     -111.710000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Lethbridge - Taber - Milk River
     1980.000000,        0.000000,        0.000000,        0.000000,19800611,     1980.000000,        0.000000,        0.000000,        0.000000,Foremost,AB,1,       49.510000,     -111.420000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Cypress Hills Provincial Park - Foremost
     1980.000000,        0.000000,        0.000000,        0.000000,19800611,     1980.000000,        0.000000,        0.000000,        0.000000,Estevan,SK,0,       49.130000,     -102.980000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Estevan - Weyburn - Radville - Milestone
     1980.000000,        0.000000,        0.000000,        0.000000,19800623,     1980.000000,        0.000000,        0.000000,        0.000000,Invermay,SK,1,       51.800000,     -103.150000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Kamsack - Canora - Preeceville
     1980.000000,        0.000000,        0.000000,        0.000000,19800714,     1980.000000,        0.000000,        0.000000,        0.000000,Sylvan Lake,AB,0,       52.340000,     -113.880000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Red Deer - Ponoka - Innisfail - Stettler
     1980.000000,        0.000000,        0.000000,        0.000000,19800810,     1980.000000,        0.000000,        0.000000,        0.000000,Aldersyde,AB,0,       50.680000,     -113.840000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Okotoks - High River - Claresholm
     1981.000000,        3.000000,       30.000000,     1400.000000,19810330 1800,     1981.000000,        3.000000,       30.000000,     1328.000000,Bothwell,ON,1,       42.611000,      -81.961000,       42.621000,      -81.928000,2760,245,-999,0,0,0,0,-999,Windsor - Essex - Chatham-Kent
     1981.000000,        3.000000,       30.000000,     1545.000000,19810330 1945,     1981.000000,        3.000000,       30.000000,     1517.000000,Hickson,ON,0,       43.217000,      -80.826000,       43.219000,      -80.823000,350,190,-999,0,0,0,0,-999,Oxford - Brant
     1981.000000,        6.000000,        3.000000,     1600.000000,19810603 2000,     1981.000000,        6.000000,        3.000000,     1443.000000,Midland,ON,0,       44.738000,      -79.914000,     -999.000000,     -999.000000,-999,-999,-999,0,0,0,0,-999,Barrie - Orillia - Midland
     1981.000000,        6.000000,        5.000000,     1800.000000,19810606 0000,     1981.000000,        6.000000,        5.000000,     1639.000000,Landonville,AB,1,       53.580000,     -110.720000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Lloydminster - Wainwright - Vermilion - Provost
     1981.000000,        6.000000,        5.000000,     1845.000000,19810606 0045,     1981.000000,        6.000000,        5.000000,     1724.000000,Clandonald,AB,0,       53.580000,     -110.720000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Lloydminster - Wainwright - Vermilion - Provost
     1981.000000,        6.000000,        6.000000,      510.000000,19810606 0910,     1981.000000,        6.000000,        6.000000,      359.000000,Harcourt,ON,1,       45.121000,      -78.244000,       45.129000,      -78.055000,15100,265,-999,0,0,0,0,-999,Haliburton
     1981.000000,        6.000000,        6.000000,     1750.000000,19810606 2350,     1981.000000,        6.000000,        6.000000,     1629.000000,Clandonald,AB,1,       53.580000,     -110.720000,     -999.000000,     -999.000000,-999,-999,20,-999,-999,-999,-999,-999,Lloydminster - Wainwright - Vermilion - Provost
     1981.000000,        6.000000,       10.000000,     1355.000000,19810610 1755,     1981.000000,        6.000000,       10.000000,     1235.000000,Acton,ON,0,       43.597000,      -80.050000,       43.585000,      -79.982000,5650,285,300,0,0,0,0,-999,Halton - Peel
     1981.000000,        6.000000,       16.000000,     1400.000000,19810616 2000,     1981.000000,        6.000000,       16.000000,     1245.000000,Gallivan,SK,0,       52.764000,     -108.680000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,The Battlefords - Unity - Maidstone - St. Walburg
